"Plot Title: 20160401_-_2.5_m_-_Bethel"
"#","Date Time, GMT-05:00","Temp, °C (LGR S/N: 20160401, SEN S/N: 20160401)","Intensity, lum/ft² (LGR S/N: 20160401, SEN S/N: 20160401)","Coupler Attached (LGR S/N: 20160401)","Stopped (LGR S/N: 20160401)","End Of File (LGR S/N: 20160401)"
51,03/01/24 02:00:00 PM,14.613,128.0,,,
52,03/01/24 03:00:00 PM,14.900,144.0,,,
53,03/01/24 04:00:00 PM,14.996,65.0,,,
54,03/01/24 05:00:00 PM,14.996,51.0,,,
55,03/01/24 06:00:00 PM,14.996,35.0,,,
56,03/01/24 07:00:00 PM,14.900,5.0,,,
57,03/01/24 08:00:00 PM,14.709,4.0,,,
58,03/01/24 09:00:00 PM,14.804,3.0,,,
59,03/01/24 10:00:00 PM,14.709,3.0,,,
60,03/01/24 11:00:00 PM,14.613,3.0,,,
61,03/02/24 12:00:00 AM,14.517,3.0,,,
62,03/02/24 01:00:00 AM,14.421,3.0,,,
63,03/02/24 02:00:00 AM,14.325,2.0,,,
64,03/02/24 03:00:00 AM,14.134,2.0,,,
65,03/02/24 04:00:00 AM,14.038,2.0,,,
66,03/02/24 05:00:00 AM,14.038,2.0,,,
67,03/02/24 06:00:00 AM,13.942,2.0,,,
68,03/02/24 07:00:00 AM,13.942,2.0,,,
69,03/02/24 08:00:00 AM,13.846,6.0,,,
70,03/02/24 09:00:00 AM,13.942,29.0,,,
71,03/02/24 10:00:00 AM,14.134,64.0,,,
72,03/02/24 11:00:00 AM,14.325,108.0,,,
73,03/02/24 12:00:00 PM,14.517,144.0,,,
74,03/02/24 01:00:00 PM,14.804,160.0,,,
75,03/02/24 02:00:00 PM,15.187,240.0,,,
76,03/02/24 03:00:00 PM,15.760,160.0,,,
77,03/02/24 04:00:00 PM,15.664,176.0,,,
78,03/02/24 05:00:00 PM,16.141,111.0,,,
79,03/02/24 06:00:00 PM,15.855,45.0,,,
80,03/02/24 07:00:00 PM,15.951,7.0,,,
81,03/02/24 08:00:00 PM,15.951,4.0,,,
82,03/02/24 09:00:00 PM,15.760,4.0,,,
83,03/02/24 10:00:00 PM,15.760,4.0,,,
84,03/02/24 11:00:00 PM,15.760,3.0,,,
85,03/03/24 12:00:00 AM,15.664,3.0,,,
86,03/03/24 01:00:00 AM,15.569,3.0,,,
87,03/03/24 02:00:00 AM,15.473,3.0,,,
88,03/03/24 03:00:00 AM,15.473,3.0,,,
89,03/03/24 04:00:00 AM,15.378,3.0,,,
90,03/03/24 05:00:00 AM,15.378,2.0,,,
91,03/03/24 06:00:00 AM,15.282,2.0,,,
92,03/03/24 07:00:00 AM,15.282,2.0,,,
93,03/03/24 08:00:00 AM,15.282,7.0,,,
94,03/03/24 09:00:00 AM,15.378,29.0,,,
95,03/03/24 10:00:00 AM,15.569,55.0,,,
96,03/03/24 11:00:00 AM,15.855,94.0,,,
97,03/03/24 12:00:00 PM,16.427,136.0,,,
98,03/03/24 01:00:00 PM,16.713,144.0,,,
99,03/03/24 02:00:00 PM,16.999,168.0,,,
100,03/03/24 03:00:00 PM,17.760,144.0,,,
101,03/03/24 04:00:00 PM,17.760,152.0,,,
102,03/03/24 05:00:00 PM,17.855,86.0,,,
103,03/03/24 06:00:00 PM,17.950,30.0,,,
104,03/03/24 07:00:00 PM,17.855,8.0,,,
105,03/03/24 08:00:00 PM,17.665,5.0,,,
106,03/03/24 09:00:00 PM,17.665,4.0,,,
107,03/03/24 10:00:00 PM,17.570,4.0,,,
108,03/03/24 11:00:00 PM,17.475,4.0,,,
109,03/04/24 12:00:00 AM,17.570,4.0,,,
110,03/04/24 01:00:00 AM,17.475,4.0,,,
111,03/04/24 02:00:00 AM,17.475,3.0,,,
112,03/04/24 03:00:00 AM,17.475,3.0,,,
113,03/04/24 04:00:00 AM,17.475,3.0,,,
114,03/04/24 05:00:00 AM,17.379,3.0,,,
115,03/04/24 06:00:00 AM,17.379,3.0,,,
116,03/04/24 07:00:00 AM,17.379,3.0,,,
117,03/04/24 08:00:00 AM,17.379,8.0,,,
118,03/04/24 09:00:00 AM,17.475,31.0,,,
119,03/04/24 10:00:00 AM,17.665,58.0,,,
120,03/04/24 11:00:00 AM,18.045,60.0,,,
121,03/04/24 12:00:00 PM,18.236,59.0,,,
122,03/04/24 01:00:00 PM,18.806,128.0,,,
123,03/04/24 02:00:00 PM,19.092,67.0,,,
124,03/04/24 03:00:00 PM,19.187,59.0,,,
125,03/04/24 04:00:00 PM,19.472,124.0,,,
126,03/04/24 05:00:00 PM,20.234,51.0,,,
127,03/04/24 06:00:00 PM,20.138,38.0,,,
128,03/04/24 07:00:00 PM,19.758,7.0,,,
129,03/04/24 08:00:00 PM,19.758,4.0,,,
130,03/04/24 09:00:00 PM,19.948,4.0,,,
131,03/04/24 10:00:00 PM,20.043,4.0,,,
132,03/04/24 11:00:00 PM,19.948,4.0,,,
133,03/05/24 12:00:00 AM,19.758,4.0,,,
134,03/05/24 01:00:00 AM,19.662,4.0,,,
135,03/05/24 02:00:00 AM,19.472,4.0,,,
136,03/05/24 03:00:00 AM,19.377,4.0,,,
137,03/05/24 04:00:00 AM,19.187,3.0,,,
138,03/05/24 05:00:00 AM,18.996,3.0,,,
139,03/05/24 06:00:00 AM,18.901,3.0,,,
140,03/05/24 07:00:00 AM,18.806,3.0,,,
141,03/05/24 08:00:00 AM,18.711,4.0,,,
142,03/05/24 09:00:00 AM,18.616,11.0,,,
143,03/05/24 10:00:00 AM,18.521,25.0,,,
144,03/05/24 11:00:00 AM,18.521,30.0,,,
145,03/05/24 12:00:00 PM,18.426,41.0,,,
146,03/05/24 01:00:00 PM,18.426,36.0,,,
147,03/05/24 02:00:00 PM,18.426,28.0,,,
148,03/05/24 03:00:00 PM,18.331,24.0,,,
149,03/05/24 04:00:00 PM,18.331,32.0,,,
150,03/05/24 05:00:00 PM,18.236,15.0,,,
151,03/05/24 06:00:00 PM,18.236,8.0,,,
152,03/05/24 07:00:00 PM,18.045,4.0,,,
153,03/05/24 08:00:00 PM,18.045,3.0,,,
154,03/05/24 09:00:00 PM,17.950,3.0,,,
155,03/05/24 10:00:00 PM,17.855,3.0,,,
156,03/05/24 11:00:00 PM,17.760,3.0,,,
157,03/06/24 12:00:00 AM,17.760,3.0,,,
158,03/06/24 01:00:00 AM,17.665,3.0,,,
159,03/06/24 02:00:00 AM,17.665,3.0,,,
160,03/06/24 03:00:00 AM,17.570,3.0,,,
161,03/06/24 04:00:00 AM,17.475,3.0,,,
162,03/06/24 05:00:00 AM,17.379,3.0,,,
163,03/06/24 06:00:00 AM,17.284,3.0,,,
164,03/06/24 07:00:00 AM,17.189,3.0,,,
165,03/06/24 08:00:00 AM,17.189,8.0,,,
166,03/06/24 09:00:00 AM,17.189,32.0,,,
167,03/06/24 10:00:00 AM,17.379,60.0,,,
168,03/06/24 11:00:00 AM,17.570,85.0,,,
169,03/06/24 12:00:00 PM,17.950,113.0,,,
170,03/06/24 01:00:00 PM,18.331,108.0,,,
171,03/06/24 02:00:00 PM,18.806,240.0,,,
172,03/06/24 03:00:00 PM,19.282,192.0,,,
173,03/06/24 04:00:00 PM,19.472,111.0,,,
174,03/06/24 05:00:00 PM,19.853,65.0,,,
175,03/06/24 06:00:00 PM,19.662,32.0,,,
176,03/06/24 07:00:00 PM,19.567,8.0,,,
177,03/06/24 08:00:00 PM,19.187,5.0,,,
178,03/06/24 09:00:00 PM,19.092,5.0,,,
179,03/06/24 10:00:00 PM,18.806,5.0,,,
180,03/06/24 11:00:00 PM,18.521,5.0,,,
181,03/07/24 12:00:00 AM,18.236,4.0,,,
182,03/07/24 01:00:00 AM,18.045,4.0,,,
183,03/07/24 02:00:00 AM,17.950,4.0,,,
184,03/07/24 03:00:00 AM,17.950,4.0,,,
185,03/07/24 04:00:00 AM,17.855,4.0,,,
186,03/07/24 05:00:00 AM,17.665,4.0,,,
187,03/07/24 06:00:00 AM,17.475,4.0,,,
188,03/07/24 07:00:00 AM,17.379,4.0,,,
189,03/07/24 08:00:00 AM,17.379,3.0,,,
190,03/07/24 09:00:00 AM,17.284,10.0,,,
191,03/07/24 10:00:00 AM,17.284,15.0,,,
192,03/07/24 11:00:00 AM,17.284,32.0,,,
193,03/07/24 12:00:00 PM,17.379,51.0,,,
194,03/07/24 01:00:00 PM,17.475,40.0,,,
195,03/07/24 02:00:00 PM,17.475,28.0,,,
196,03/07/24 03:00:00 PM,17.475,19.0,,,
197,03/07/24 04:00:00 PM,17.475,13.0,,,
198,03/07/24 05:00:00 PM,17.475,12.0,,,
199,03/07/24 06:00:00 PM,17.475,7.0,,,
200,03/07/24 07:00:00 PM,17.379,4.0,,,
201,03/07/24 08:00:00 PM,17.379,3.0,,,
202,03/07/24 09:00:00 PM,17.379,3.0,,,
203,03/07/24 10:00:00 PM,17.284,3.0,,,
204,03/07/24 11:00:00 PM,17.284,3.0,,,
205,03/08/24 12:00:00 AM,17.284,3.0,,,
206,03/08/24 01:00:00 AM,17.284,3.0,,,
207,03/08/24 02:00:00 AM,17.284,3.0,,,
208,03/08/24 03:00:00 AM,17.189,3.0,,,
209,03/08/24 04:00:00 AM,17.189,3.0,,,
210,03/08/24 05:00:00 AM,17.189,3.0,,,
211,03/08/24 06:00:00 AM,17.189,3.0,,,
212,03/08/24 07:00:00 AM,17.189,3.0,,,
213,03/08/24 08:00:00 AM,17.094,4.0,,,
214,03/08/24 09:00:00 AM,17.189,9.0,,,
215,03/08/24 10:00:00 AM,17.189,31.0,,,
216,03/08/24 11:00:00 AM,17.189,17.0,,,
217,03/08/24 12:00:00 PM,17.189,26.0,,,
218,03/08/24 01:00:00 PM,17.284,27.0,,,
219,03/08/24 02:00:00 PM,17.189,26.0,,,
220,03/08/24 03:00:00 PM,17.189,19.0,,,
221,03/08/24 04:00:00 PM,17.189,12.0,,,
222,03/08/24 05:00:00 PM,17.094,11.0,,,
223,03/08/24 06:00:00 PM,16.999,7.0,,,
224,03/08/24 07:00:00 PM,16.903,3.0,,,
225,03/08/24 08:00:00 PM,16.808,3.0,,,
226,03/08/24 09:00:00 PM,16.713,3.0,,,
227,03/08/24 10:00:00 PM,16.618,3.0,,,
228,03/08/24 11:00:00 PM,16.523,3.0,,,
229,03/09/24 12:00:00 AM,16.427,3.0,,,
230,03/09/24 01:00:00 AM,16.332,3.0,,,
231,03/09/24 02:00:00 AM,16.237,3.0,,,
232,03/09/24 03:00:00 AM,16.141,3.0,,,
233,03/09/24 04:00:00 AM,16.046,3.0,,,
234,03/09/24 05:00:00 AM,15.951,3.0,,,
235,03/09/24 06:00:00 AM,15.855,3.0,,,
236,03/09/24 07:00:00 AM,15.760,3.0,,,
237,03/09/24 08:00:00 AM,15.569,7.0,,,
238,03/09/24 09:00:00 AM,15.569,35.0,,,
239,03/09/24 10:00:00 AM,15.664,63.0,,,
240,03/09/24 11:00:00 AM,15.760,97.0,,,
241,03/09/24 12:00:00 PM,16.046,128.0,,,
242,03/09/24 01:00:00 PM,16.427,192.0,,,
243,03/09/24 02:00:00 PM,16.713,192.0,,,
244,03/09/24 03:00:00 PM,16.903,184.0,,,
245,03/09/24 04:00:00 PM,16.999,152.0,,,
246,03/09/24 05:00:00 PM,16.999,96.0,,,
247,03/09/24 06:00:00 PM,16.903,37.0,,,
248,03/09/24 07:00:00 PM,16.618,6.0,,,
249,03/09/24 08:00:00 PM,16.427,4.0,,,
250,03/09/24 09:00:00 PM,16.332,4.0,,,
251,03/09/24 10:00:00 PM,16.237,4.0,,,
252,03/09/24 11:00:00 PM,16.141,3.0,,,
253,03/10/24 12:00:00 AM,16.046,3.0,,,
254,03/10/24 01:00:00 AM,15.951,3.0,,,
255,03/10/24 02:00:00 AM,15.855,3.0,,,
256,03/10/24 03:00:00 AM,15.760,3.0,,,
257,03/10/24 04:00:00 AM,15.760,3.0,,,
258,03/10/24 05:00:00 AM,15.664,3.0,,,
259,03/10/24 06:00:00 AM,15.473,3.0,,,
260,03/10/24 07:00:00 AM,15.378,3.0,,,
261,03/10/24 08:00:00 AM,15.378,8.0,,,
262,03/10/24 09:00:00 AM,15.378,43.0,,,
263,03/10/24 10:00:00 AM,15.569,98.0,,,
264,03/10/24 11:00:00 AM,15.760,144.0,,,
265,03/10/24 12:00:00 PM,16.046,200.0,,,
266,03/10/24 01:00:00 PM,17.094,208.0,,,
267,03/10/24 02:00:00 PM,17.570,216.0,,,
268,03/10/24 03:00:00 PM,17.284,192.0,,,
269,03/10/24 04:00:00 PM,18.045,128.0,,,
270,03/10/24 05:00:00 PM,17.379,63.0,,,
271,03/10/24 06:00:00 PM,17.189,31.0,,,
272,03/10/24 07:00:00 PM,17.950,8.0,,,
273,03/10/24 08:00:00 PM,17.665,5.0,,,
274,03/10/24 09:00:00 PM,17.760,4.0,,,
275,03/10/24 10:00:00 PM,17.284,4.0,,,
276,03/10/24 11:00:00 PM,17.570,4.0,,,
277,03/11/24 12:00:00 AM,17.284,4.0,,,
278,03/11/24 01:00:00 AM,16.903,4.0,,,
279,03/11/24 02:00:00 AM,16.713,4.0,,,
280,03/11/24 03:00:00 AM,16.523,4.0,,,
281,03/11/24 04:00:00 AM,16.427,3.0,,,
282,03/11/24 05:00:00 AM,16.237,3.0,,,
283,03/11/24 06:00:00 AM,16.141,3.0,,,
284,03/11/24 07:00:00 AM,15.951,3.0,,,
285,03/11/24 08:00:00 AM,15.760,9.0,,,
286,03/11/24 09:00:00 AM,15.664,34.0,,,
287,03/11/24 10:00:00 AM,15.951,92.0,,,
288,03/11/24 11:00:00 AM,16.237,176.0,,,
289,03/11/24 12:00:00 PM,16.808,116.0,,,
290,03/11/24 01:00:00 PM,17.094,216.0,,,
291,03/11/24 02:00:00 PM,17.570,176.0,,,
292,03/11/24 03:00:00 PM,17.570,184.0,,,
293,03/11/24 04:00:00 PM,18.140,144.0,,,
294,03/11/24 05:00:00 PM,18.045,98.0,,,
295,03/11/24 06:00:00 PM,18.045,36.0,,,
296,03/11/24 07:00:00 PM,17.760,8.0,,,
297,03/11/24 08:00:00 PM,17.665,4.0,,,
298,03/11/24 09:00:00 PM,17.475,4.0,,,
299,03/11/24 10:00:00 PM,17.475,4.0,,,
300,03/11/24 11:00:00 PM,17.379,4.0,,,
301,03/12/24 12:00:00 AM,17.284,3.0,,,
302,03/12/24 01:00:00 AM,17.094,3.0,,,
303,03/12/24 02:00:00 AM,16.999,3.0,,,
304,03/12/24 03:00:00 AM,16.903,3.0,,,
305,03/12/24 04:00:00 AM,16.808,3.0,,,
306,03/12/24 05:00:00 AM,16.713,3.0,,,
307,03/12/24 06:00:00 AM,16.618,3.0,,,
308,03/12/24 07:00:00 AM,16.523,3.0,,,
309,03/12/24 08:00:00 AM,16.427,11.0,,,
310,03/12/24 09:00:00 AM,16.618,33.0,,,
311,03/12/24 10:00:00 AM,16.808,61.0,,,
312,03/12/24 11:00:00 AM,17.189,103.0,,,
313,03/12/24 12:00:00 PM,17.760,128.0,,,
314,03/12/24 01:00:00 PM,18.045,152.0,,,
315,03/12/24 02:00:00 PM,18.521,184.0,,,
316,03/12/24 03:00:00 PM,19.187,144.0,,,
317,03/12/24 04:00:00 PM,19.377,176.0,,,
318,03/12/24 05:00:00 PM,19.377,51.0,,,
319,03/12/24 06:00:00 PM,19.282,46.0,,,
320,03/12/24 07:00:00 PM,19.472,6.0,,,
321,03/12/24 08:00:00 PM,19.282,4.0,,,
322,03/12/24 09:00:00 PM,19.092,4.0,,,
323,03/12/24 10:00:00 PM,18.901,3.0,,,
324,03/12/24 11:00:00 PM,18.711,3.0,,,
325,03/13/24 12:00:00 AM,18.616,3.0,,,
326,03/13/24 01:00:00 AM,18.616,3.0,,,
327,03/13/24 02:00:00 AM,18.616,3.0,,,
328,03/13/24 03:00:00 AM,18.616,3.0,,,
329,03/13/24 04:00:00 AM,18.521,3.0,,,
330,03/13/24 05:00:00 AM,18.426,3.0,,,
331,03/13/24 06:00:00 AM,18.426,2.0,,,
332,03/13/24 07:00:00 AM,18.331,3.0,,,
333,03/13/24 08:00:00 AM,18.236,10.0,,,
334,03/13/24 09:00:00 AM,18.331,61.0,,,
335,03/13/24 10:00:00 AM,18.521,117.0,,,
336,03/13/24 11:00:00 AM,18.806,160.0,,,
337,03/13/24 12:00:00 PM,19.472,200.0,,,
338,03/13/24 01:00:00 PM,19.662,208.0,,,
339,03/13/24 02:00:00 PM,19.758,152.0,,,
340,03/13/24 03:00:00 PM,20.138,176.0,,,
341,03/13/24 04:00:00 PM,20.710,152.0,,,
342,03/13/24 05:00:00 PM,20.710,94.0,,,
343,03/13/24 06:00:00 PM,20.234,17.0,,,
344,03/13/24 07:00:00 PM,20.710,8.0,,,
345,03/13/24 08:00:00 PM,20.805,5.0,,,
346,03/13/24 09:00:00 PM,20.329,5.0,,,
347,03/13/24 10:00:00 PM,20.234,5.0,,,
348,03/13/24 11:00:00 PM,19.662,6.0,,,
349,03/14/24 12:00:00 AM,19.187,4.0,,,
350,03/14/24 01:00:00 AM,19.758,4.0,,,
351,03/14/24 02:00:00 AM,19.853,4.0,,,
352,03/14/24 03:00:00 AM,19.282,4.0,,,
353,03/14/24 04:00:00 AM,20.329,4.0,,,
354,03/14/24 05:00:00 AM,20.519,4.0,,,
355,03/14/24 06:00:00 AM,20.424,4.0,,,
356,03/14/24 07:00:00 AM,20.234,4.0,,,
357,03/14/24 08:00:00 AM,20.138,4.0,,,
358,03/14/24 09:00:00 AM,19.948,21.0,,,
359,03/14/24 10:00:00 AM,20.138,103.0,,,
360,03/14/24 11:00:00 AM,20.424,101.0,,,
361,03/14/24 12:00:00 PM,20.710,152.0,,,
362,03/14/24 01:00:00 PM,20.615,58.0,,,
363,03/14/24 02:00:00 PM,21.664,36.0,,,
364,03/14/24 03:00:00 PM,22.142,58.0,,,
365,03/14/24 04:00:00 PM,22.046,24.0,,,
366,03/14/24 05:00:00 PM,22.046,9.0,,,
367,03/14/24 06:00:00 PM,21.855,5.0,,,
368,03/14/24 07:00:00 PM,22.238,6.0,,,
369,03/14/24 08:00:00 PM,21.760,3.0,,,
370,03/14/24 09:00:00 PM,21.664,3.0,,,
371,03/14/24 10:00:00 PM,21.569,3.0,,,
372,03/14/24 11:00:00 PM,21.378,3.0,,,
373,03/15/24 12:00:00 AM,21.187,3.0,,,
374,03/15/24 01:00:00 AM,20.805,3.0,,,
375,03/15/24 02:00:00 AM,20.615,3.0,,,
376,03/15/24 03:00:00 AM,20.424,3.0,,,
377,03/15/24 04:00:00 AM,20.329,3.0,,,
378,03/15/24 05:00:00 AM,20.138,3.0,,,
379,03/15/24 06:00:00 AM,19.948,3.0,,,
380,03/15/24 07:00:00 AM,19.758,3.0,,,
381,03/15/24 08:00:00 AM,19.567,10.0,,,
382,03/15/24 09:00:00 AM,19.472,24.0,,,
383,03/15/24 10:00:00 AM,19.567,83.0,,,
384,03/15/24 11:00:00 AM,19.758,124.0,,,
385,03/15/24 12:00:00 PM,20.043,152.0,,,
386,03/15/24 01:00:00 PM,20.519,152.0,,,
387,03/15/24 02:00:00 PM,20.805,128.0,,,
388,03/15/24 03:00:00 PM,21.282,94.0,,,
389,03/15/24 04:00:00 PM,21.569,73.0,,,
390,03/15/24 05:00:00 PM,21.855,49.0,,,
391,03/15/24 06:00:00 PM,21.664,24.0,,,
392,03/15/24 07:00:00 PM,21.569,8.0,,,
393,03/15/24 08:00:00 PM,21.378,6.0,,,
394,03/15/24 09:00:00 PM,21.187,5.0,,,
395,03/15/24 10:00:00 PM,20.996,5.0,,,
396,03/15/24 11:00:00 PM,20.805,4.0,,,
397,03/16/24 12:00:00 AM,20.615,4.0,,,
398,03/16/24 01:00:00 AM,20.424,4.0,,,
399,03/16/24 02:00:00 AM,20.329,4.0,,,
400,03/16/24 03:00:00 AM,20.138,4.0,,,
401,03/16/24 04:00:00 AM,20.043,4.0,,,
402,03/16/24 05:00:00 AM,19.948,4.0,,,
403,03/16/24 06:00:00 AM,19.758,3.0,,,
404,03/16/24 07:00:00 AM,19.662,4.0,,,
405,03/16/24 08:00:00 AM,19.567,11.0,,,
406,03/16/24 09:00:00 AM,19.662,49.0,,,
407,03/16/24 10:00:00 AM,19.758,46.0,,,
408,03/16/24 11:00:00 AM,19.758,46.0,,,
409,03/16/24 12:00:00 PM,20.138,64.0,,,
410,03/16/24 01:00:00 PM,20.424,136.0,,,
411,03/16/24 02:00:00 PM,20.424,109.0,,,
412,03/16/24 03:00:00 PM,20.519,74.0,,,
413,03/16/24 04:00:00 PM,20.519,39.0,,,
414,03/16/24 05:00:00 PM,20.519,60.0,,,
415,03/16/24 06:00:00 PM,20.329,18.0,,,
416,03/16/24 07:00:00 PM,20.329,7.0,,,
417,03/16/24 08:00:00 PM,20.138,4.0,,,
418,03/16/24 09:00:00 PM,20.043,4.0,,,
419,03/16/24 10:00:00 PM,19.948,3.0,,,
420,03/16/24 11:00:00 PM,19.853,3.0,,,
421,03/17/24 12:00:00 AM,19.662,3.0,,,
422,03/17/24 01:00:00 AM,19.567,3.0,,,
423,03/17/24 02:00:00 AM,19.472,3.0,,,
424,03/17/24 03:00:00 AM,19.282,3.0,,,
425,03/17/24 04:00:00 AM,19.187,3.0,,,
426,03/17/24 05:00:00 AM,18.996,3.0,,,
427,03/17/24 06:00:00 AM,18.901,2.0,,,
428,03/17/24 07:00:00 AM,18.711,3.0,,,
429,03/17/24 08:00:00 AM,18.616,9.0,,,
430,03/17/24 09:00:00 AM,18.616,44.0,,,
431,03/17/24 10:00:00 AM,18.711,99.0,,,
432,03/17/24 11:00:00 AM,18.996,110.0,,,
433,03/17/24 12:00:00 PM,18.996,24.0,,,
434,03/17/24 01:00:00 PM,19.187,31.0,,,
435,03/17/24 02:00:00 PM,19.472,125.0,,,
436,03/17/24 03:00:00 PM,19.472,109.0,,,
437,03/17/24 04:00:00 PM,19.472,74.0,,,
438,03/17/24 05:00:00 PM,19.282,51.0,,,
439,03/17/24 06:00:00 PM,18.996,13.0,,,
440,03/17/24 07:00:00 PM,18.806,7.0,,,
441,03/17/24 08:00:00 PM,18.616,5.0,,,
442,03/17/24 09:00:00 PM,18.426,4.0,,,
443,03/17/24 10:00:00 PM,18.236,4.0,,,
444,03/17/24 11:00:00 PM,18.140,4.0,,,
445,03/18/24 12:00:00 AM,17.950,4.0,,,
446,03/18/24 01:00:00 AM,17.855,4.0,,,
447,03/18/24 02:00:00 AM,17.665,3.0,,,
448,03/18/24 03:00:00 AM,17.475,3.0,,,
449,03/18/24 04:00:00 AM,17.284,3.0,,,
450,03/18/24 05:00:00 AM,17.094,3.0,,,
451,03/18/24 06:00:00 AM,16.903,3.0,,,
452,03/18/24 07:00:00 AM,16.713,3.0,,,
453,03/18/24 08:00:00 AM,16.523,12.0,,,
454,03/18/24 09:00:00 AM,16.523,59.0,,,
455,03/18/24 10:00:00 AM,16.523,90.0,,,
456,03/18/24 11:00:00 AM,16.713,144.0,,,
457,03/18/24 12:00:00 PM,16.999,128.0,,,
458,03/18/24 01:00:00 PM,17.284,128.0,,,
459,03/18/24 02:00:00 PM,17.570,80.0,,,
460,03/18/24 03:00:00 PM,17.665,97.0,,,
461,03/18/24 04:00:00 PM,17.665,72.0,,,
462,03/18/24 05:00:00 PM,17.665,49.0,,,
463,03/18/24 06:00:00 PM,17.379,28.0,,,
464,03/18/24 07:00:00 PM,17.094,5.0,,,
465,03/18/24 08:00:00 PM,16.903,4.0,,,
466,03/18/24 09:00:00 PM,16.713,4.0,,,
467,03/18/24 10:00:00 PM,16.713,3.0,,,
468,03/18/24 11:00:00 PM,16.618,3.0,,,
469,03/19/24 12:00:00 AM,16.523,3.0,,,
470,03/19/24 01:00:00 AM,16.427,3.0,,,
471,03/19/24 02:00:00 AM,16.332,3.0,,,
472,03/19/24 03:00:00 AM,16.237,3.0,,,
473,03/19/24 04:00:00 AM,16.046,3.0,,,
474,03/19/24 05:00:00 AM,15.951,3.0,,,
475,03/19/24 06:00:00 AM,15.760,3.0,,,
476,03/19/24 07:00:00 AM,15.664,3.0,,,
477,03/19/24 08:00:00 AM,15.664,11.0,,,
478,03/19/24 09:00:00 AM,15.664,39.0,,,
479,03/19/24 10:00:00 AM,15.855,77.0,,,
480,03/19/24 11:00:00 AM,16.141,101.0,,,
481,03/19/24 12:00:00 PM,16.427,100.0,,,
482,03/19/24 01:00:00 PM,16.713,104.0,,,
483,03/19/24 02:00:00 PM,16.903,102.0,,,
484,03/19/24 03:00:00 PM,17.284,92.0,,,
485,03/19/24 04:00:00 PM,17.379,82.0,,,
486,03/19/24 05:00:00 PM,17.570,59.0,,,
487,03/19/24 06:00:00 PM,17.570,28.0,,,
